schoolID,name_full,city,state,country
abilchrist,Abilene Christian University,Abilene,TX,USA
adelphi,Adelphi University,Garden City,NY,USA
adrianmi,Adrian College,Adrian,MI,USA
alabamaam,Alabama A&M University,Normal,AL,USA
alabamast,Alabama State University,Montgomery,AL,USA
albanyst,Albany State University,Albany,GA,USA
albertsnid,Albertson College,Caldwell,ID,USA
albionmi,Albion College,Albion,MI,USA
albrightpa,Albright College,Reading,PA,USA
alcornst,Alcorn State University,Lorman,MS,USA
caallan,Allan Hancock College,Santa Maria,CA,USA
allegheny,Allegheny College,Meadville,PA,USA
almami,Alma College,Alma,MI,USA
alverniapa,Alvernia College,Reading,PA,USA
txalvin,Alvin Community College,Alvin,TX,USA
amerintl,American International University,Springfield,MA,USA
caameri,American River College,Sacramento,CA,USA
american,American University,Washington,DC,USA
amherstma,Amherst College,Amherst,MA,USA
andersonsc,Anderson College,Anderson,SC,USA
inander,Anderson University,Anderson,IN,USA
txangjc,Angelina College,Lufkin,TX,USA
txangel,Angelo State University,San Angelo,TX,USA
mdaacco,Anne Arundel Community College,Arnold,MD,USA
caantel,Antelope Valley College,Lancaster,CA,USA
appalst,Appalachian State University,Boone,NC,USA
aquinasmi,Aquinas College,Grand Rapids,MI,USA
arizonast,Arizona State University,Tempe,AZ,USA
azweste,Arizona Western College,Yuma,AZ,USA
arkansasst,Arkansas State University,Jonesboro,AR,USA
arktech,Arkansas Tech University,Russellville,AR,USA
armstratl,Armstrong Atlantic State University,Savannah,GA,USA
ashland,Ashland University,Ashland,OH,USA
maassum,Assumption College,Worcester,MA,USA
athensst,Athens State University,Athens,AL,USA
auburn,Auburn University,Auburn,AL,USA
auburnmont,Auburn University at Montgomery,Montgomery,AL,USA
augsburgmn,Augsburg College,Minneapolis,MN,USA
ilaugus,Augustana College,Rock Island,IL,USA
austincol,Austin College,Sherman,TX,USA
txausti,Austin Community College,Austin,TX,USA
austinpeay,Austin Peay State University,Clarksville,TN,USA
azusapac,Azusa Pacific University,Azusa,CA,USA
baconeok,Bacone College,Muskogee,OK,USA
bakerks,Baker University,Baldwin City,KS,USA
cabakjc,Bakersfield College,Bakersfield,CA,USA
baldwalloh,Baldwin-Wallace College,Berea,OH,USA
ballst,Ball State University,Muncie,IN,USA
mdbalcc,Baltimore City Community College,Baltimore,MD,USA
flbarry,Barry University,Miami Shores,FL,USA
cabarst,Barstow Community College,Barstow,CA,USA
bartonnc,Barton College,Wilson,NC,USA
ksbarto,Barton County Community College,Great Bend,KS,USA
batesme,Bates College,Lewiston,ME,USA
baylor,Baylor University,Waco,TX,USA
kybella,Bellarmine College,Louisville,KY,USA
wabelle,Bellevue Community College,Bellevue,WA,USA
nebellevue,Bellevue University,Bellevue,NE,USA
belmontab,Belmont Abbey College,Belmont,NC,USA
belmont,Belmont University,Nashville,TN,USA
beloitwi,Beloit College,Beloit,WI,USA
mnbemid,Bemidji State University,Bemidji,MN,USA
benedctnks,Benedictine College,Atchison,KS,USA
dcbenfr,Benjamin Franklin University,Washington,DC,USA
njberge,Bergen Community College,Paramus,NJ,USA
baruchcuny,Bernard M Baruch College,New York,NY,USA
gaberry,Berry College,Mount Berry,GA,USA
bethanywv,Bethany College,Bethany,WV,USA
betheltn,Bethel College,McKenzie,TN,USA
inbethel,Bethel College,Mishawaka,IN,USA
bethcook,Bethune-Cookman College,Daytona Beach,FL,USA
albevil,Bevill State Community College,Sumiton,AL,USA
biolaca,Biola University,La Mirada,CA,USA
birmsouth,Birmingham-Southern College,Birmingham,AL,USA
blackbrnil,Blackburn College,Carlinville,IL,USA
txblinn,Blinn College,Brenham,TX,USA
bloomsburg,Bloomsburg University of Pennsylvania,Bloomsburg,PA,USA
orbluem,Blue Mountain Community College,Pendleton,OR,USA
bluefield,Bluefield College,Bluefield,VA,USA
boisest,Boise State University,Boise,ID,USA
njborde,Bordentown Military Institute,Bordentown,NJ,USA
labossi,Bossier Parish Community College,Bossier City,LA,USA
bostoncoll,Boston College,Chestnut Hill,MA,USA
bostonuniv,Boston University,Boston,MA,USA
bowdoinme,Bowdoin College,Brunswick,ME,USA
bowlgreen,Bowling Green State University,Bowling Green,OH,USA
bradley,Bradley University,Peoria,IL,USA
brandeisma,Brandeis University,Waltham,MA,USA
debrand,Brandywine Junior College,Wilmington,DE,USA
ncbreva,Brevard College,Brevard,NC,USA
flbreva,Brevard Community College,Cocoa,FL,USA
brewparker,Brewton-Parker College,Mount Vernon,GA,USA
brdgwatrva,Bridgewater College,Bridgewater,VA,USA
bridgwtrst,Bridgewater State College,Bridgewater,MA,USA
byu,Brigham Young University,Provo,UT,USA
idbyuid,Brigham Young University-Idaho,Rexburg,ID,USA
njbrook,Brookdale Community College,Lincroft,NJ,USA
brklyncuny,Brooklyn College - The City University of New York,Brooklyn,NY,USA
flbrowa,Broward Community College,Fort Lauderdale,FL,USA
brown,Brown University,Providence,RI,USA
bryant,Bryant College,Smithfield,RI,USA
bucknell,Bucknell University,Lewisburg,PA,USA
pabucks,Bucks County Community College,Lewisburg,PA,USA
buenavista,Buena Vista University,Storm Lake,IA,USA
buffalost,Buffalo State College,Buffalo,NY,USA
njburli,Burlington County College,Pemberton,NJ,USA
txburne,Burnetta College,Venus,TX,USA
pabutle,Butler County Community College,Butler,PA,USA
ksbutle,Butler County Community College,El Dorado,KS,USA
butler,Butler University,Indianapolis,IN,USA
cabutte,Butte College,Oroville,CA,USA
cacabri,Cabrillo College,Aptos,CA,USA
alcalho,Calhoun Community College,Decatur,AL,USA
calutheran,California Lutheran University,Thousand Oaks,CA,USA
calpolypom,California Polytechnic State University - Pomona,Pomona,CA,USA
calpoly,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,USA
chicost,California State University Chico,Chico,CA,USA
csdomhills,California State University Dominguez Hills,Carson,CA,USA
cshayward,California State University East Bay,Hayward,CA,USA
fresnost,California State University Fresno,Fresno,CA,USA
calstfull,California State University Fullerton,Fullerton,CA,USA
longbeach,California State University Long Beach,Long Beach,CA,USA
calstla,California State University Los Angeles,Los Angeles,CA,USA
calstnorth,California State University Northridge,Los Angeles,CA,USA
sacstate,California State University Sacramento,Sacramento,CA,USA
casanbe,California State University San Bernardino,San Bernardino,CA,USA
csstanisl,California State University Stanislaus,Turlock,CA,USA
calipa,California University of Pennsylvania,California,PA,USA
njcamde,Camden County College,Blackwood,NJ,USA
cameronok,Cameron University,Lawton,OK,USA
campbell,Campbell University,Buies Creek,NC,USA
cacanad,Canada College,Redwood City,CA,USA
canisius,Canisius College,Buffalo,NY,USA
incante,Canterbury College,Danville,IN,USA
ohcapit,Capital University,Bexley,OH,USA
crdstritch,Cardinal Stritch University,Milwaukee,WI,USA
pacarli,Carlisle Indian Industrial School,Carlisle,PA,USA
crngmellon,Carnegie Mellon University,Pittsburgh,PA,USA
wicarro,Carroll College,Waukesha,WI,USA
carsnewm,Carson-Newman College,Jefferson City,TN,USA
carthagewi,Carthage College,Kenosha,WI,USA
ohcaset,Case Institute of Applied Sciences,Cleveland,OH,USA
casewestrn,Case Western Reserve University,Cleveland,OH,USA
catawba,Catawba College,Salisbury,NC,USA
catholic,Catholic University of America,Washington,DC,USA
mdcecil,Cecil Community College,North East,MD,USA
njcente,Centenary College,Hackettstown,NJ,USA
centenary,Centenary College of Louisiana,Shreveport,LA,USA
azcentr,Central Arizona College,Coolidge,AZ,USA
cconnst,Central Connecticut State University,New Britain,CT,USA
flcentr,Central Florida Community College,Ocala,FL,USA
cmichigan,Central Michigan University,Mount Pleasant,MI,USA
centralst,Central State University,Wilberforce,OH,USA
cwashngton,Central Washington University,Ellensburg,WA,USA
wacentr,Centralia College,Centralia,WA,USA
centreky,Centre College,Danville,KY,USA
cacerri,Cerritos College,Norwalk,CA,USA
cachabo,Chabot College,Hayward,CA,USA
cachaff,Chaffey College,Rancho Cucamonga,CA,USA
azchand,Chandler-Gilbert Community College,Chandler,AZ,USA
chapmanca,Chapman University,Orange,CA,USA
charlsouth,Charleston Southern University,Charleston,SC,USA
alchatt,Chattahoochee Valley Community College,Phenix City,AL,USA
tnchatt,Chattanooga State Technical Community College,Chattanooga,TN,USA
orcheme,Chemeketa Community College,Salem,OR,USA
pacheyn,Cheyney University,Cheyney,PA,USA
chicagost,Chicago State University,Chicago,IL,USA
flchipo,Chipola College,Marianna,FL,USA
ncchowa,Chowan College,Murfreesboro,NC,USA
tnchris,Christian Brothers University,Memphis,TN,USA
cacitru,Citrus College,Glendora,CA,USA
casfcco,City College of San Francisco,San Francisco,CA,USA
clrmuddscr,Claremont McKenna College,Claremont,CA,USA
txclare,Clarendon College,Clarendon,TX,USA
clarion,Clarion University of Pennsylvania,Clarion,PA,USA
waclark,Clark College,Vancouver,WA,USA
clarksonny,Clarkson University,Potsdam,NY,USA
clemson,Clemson University,Clemson,SC,USA
tncleve,Cleveland State Community College,Cleveland,TN,USA
clevst,Cleveland State University,Cleveland,OH,USA
kscloud,Cloud County Community College,Concordia,KS,USA
txcoast,Coastal Bend College,Beeville,TX,USA
coastcar,Coastal Carolina University,Conway,SC,USA
gacoast,Coastal Georgia Community College,Brunswick,GA,USA
azcochi,Cochise Community College,Douglas,AZ,USA
colbyme,Colby College,Waterville,ME,USA
colgate,Colgate University,Hamilton,NY,USA
charleston,College of Charleston,Charleston,SC,USA
ildupag,College of DuPage,Glen Ellyn,IL,USA
eutah,College of Eastern Utah,Price,UT,USA
camarin,College of Marin,Kentfield,CA,USA
cacsmat,College of San Mateo,San Mateo,CA,USA
idcosid,College of Southern Idaho,Twin Falls,ID,USA
mdcolsm,College of Southern Maryland,La Plata,MD,USA
nvsouth,College of Southern Nevada,Henderson,NV,USA
strose,College of St. Rose,Albany,NY,USA
cacanyo,College of the Canyons,Santa Clarita,CA,USA
holycross,College of the Holy Cross,Worcester,MA,USA
caredwo,College of the Redwoods,Eureka,CA,USA
casequo,College of the Sequoias,Visalia,CA,USA
casiski,College of the Siskiyous,Weed,CA,USA
nmsouth,College of the Southwest,Hobbs,NM,USA
willmary,College of William and Mary,Williamsburg,VA,USA
woosteroh,College of Wooster,Wooster,OH,USA
txcolli,Collin College,Dallas,TX,USA
colocollege,Colorado College,Colorado Springs,CO,USA
comines,Colorado School of Mines,Golden,CO,USA
coloradost,Colorado State University,Fort Collins,CO,USA
costpue,Colorado State University-Pueblo,Pueblo,CO,USA
wacolum,Columbia Basin College,Pasco,WA,USA
tncolum,Columbia State Community College,Columbia,TN,USA
columbia,Columbia University,New York,NY,USA
gacolum,Columbus State University,Columbus,GA,USA
paalleb,Community College of Allegheny County - Boyce Campus,Monroeville,PA,USA
paalles,Community College of Allegheny County - South Campus,West Mifflin,PA,USA
mdccbcc,Community College of Baltimore County - Catonsville Campus,Catonsville,MD,USA
mdccbce,Community College of Baltimore County - Essex Campus,Essex,MD,USA
pabeave,Community College of Beaver County,Monaca,PA,USA
paccphi,Community College of Philadelphia,Philadelphia,PA,USA
ccri,Community College of Rhode Island,Warwick,RI,USA
cacompt,Compton Community College,Compton,CA,USA
concordny,Concordia College-Bronxville,Bronxville,NY,USA
cncrdiacol,Concordia College-Moorhead,Moorhead,MN,USA
moconco,Concordia Seminary-St. Louis,St. Louis,MO,USA
inconco,Concordia Theological Seminary,Fort Wayne,IN,USA
concrdiatx,Concordia University at Austin,Austin,TX,USA
concrdiamn,Concordia University-St. Paul,St. Paul,MN,USA
okconno,Connors State College,Warner,OK,USA
cacontr,Contra Costa College,San Pablo,CA,USA
mscopia,Copiah-Lincoln Community College,Wesson,MS,USA
orcorba,Corban College,Salem,OR,USA
cornellia,Cornell College,Mount Vernon,IA,USA
cornell,Cornell University,Ithaca,NY,USA
cacosum,Cosumnes River College,Sacramento,CA,USA
njccmor,County College of Morris,Randolph,NJ,USA
kscowle,Cowley County Community College,Arkansas City,KS,USA
creighton,Creighton University,Omaha,NE,USA
mocrowd,Crowder College,Neosho,MO,USA
cacuest,Cuesta College,San Luis Obispo,CA,USA
moculve,Culver-Stockton College,Canton,MO,USA
cumbrlndtn,Cumberland University,Lebanon,TN,USA
ohcuyah,Cuyahoga Community College,Cleveland,OH,USA
cacypre,Cypress College,Cypress,CA,USA
dallasbapt,Dallas Baptist University,Dallas,TX,USA
dartmouth,Dartmouth College,Hanover,NH,USA
davidson,Davidson College,Davidson,NC,USA
daviselkins,Davis and Elkins College,Elkins,WV,USA
fldayto,Daytona Beach Community College,Daytona Beach,FL,USA
madeajc,Dean College,Franklin,MA,USA
cadeanz,DeAnza College,Cupertino,CA,USA
padelaw,Delaware County Community College,Marple,PA,USA
delawarest,Delaware State University,Dover,DE,USA
dedelaw,Delaware Technical and Community College,Dover,DE,USA
ladelga,Delgado Community College,New Orleans,LA,USA
deltast,Delta State University,Cleveland,MS,USA
denisonoh,Denison University,Granville,OH,USA
depaul,DePaul University,Chicago,IL,USA
depauwin,DePauw University,Greencastle,IN,USA
iadmacc,Des Moines Area Community College,Boone,IA,USA
iadesmo,Des Moines University,Des Moines,IA,USA
padesal,DeSales University,Center Valley,PA,USA
midetrte,Detroit Institute of Technology,Detroit,MI,USA
cadiabl,Diablo Valley College,Pleasant Hill,CA,USA
dickinson,Dickinson College,Carlisle,PA,USA
utdixie,Dixie State College of Utah,St. George,UT,USA
ildixon,Dixon College,Dixon,IL,USA
nedoane,Doane College,Crete,NE,USA
dominican,Dominican College,Orangeburg,NY,USA
drake,Drake University,Des Moines,IA,USA
modrury,Drury University,Springfield,MO,USA
duke,Duke University,Durham,NC,USA
duquesne,Duquesne University,Pittsburgh,PA,USA
nydutch,Dutchess Community College,Poughkeepsie,NY,USA
ecarolina,East Carolina University,Greenville,NC,USA
moeastc,East Central College,Union,MO,USA
mseccco,East Central Community College,Decatur,MS,USA
ecentralok,East Central University,Ada,OK,USA
caelajc,East Los Angeles College,Monterey Park,CA,USA
okeaste,East Oklahoma State College,Wilburton,OK,USA
estroud,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,USA
etennst,East Tennessee State University,Johnson City,TN,USA
etxbaptist,East Texas Baptist University,Marshall,TX,USA
econnst,Eastern Connecticut State University,Willimantic,CT,USA
eillinois,Eastern Illinois University,Charleston,IL,USA
ekentucky,Eastern Kentucky University,Richmond,KY,USA
vaemenn,Eastern Mennonite University,Harrisonburg,VA,USA
emichigan,Eastern Michigan University,Ypsilanti,MI,USA
nmeaste,Eastern New Mexico University,Portales,NM,USA
txeastf,Eastfield College,Mesquite,TX,USA
eckerd,Eckerd College,St. Petersburg,FL,USA
edinboro,Edinboro University of Pennsylvania,Edinboro,PA,USA
flediso,Edison College,Fort Myers,FL,USA
waedmon,Edmonds Community College,Lynnwood,WA,USA
caelcam,El Camino College,Torrance,CA,USA
txelpas,El Paso Community College,El Paso,TX,USA
elizbthtwn,Elizabethtown College,Elizabethtown,PA,USA
iaellsw,Ellsworth College,Iowa Falls,IA,USA
ilelmhu,Elmhurst College,Elmhurst,IL,USA
elon,Elon University,Elon,NC,USA
maemers,Emerson College,Boston,MA,USA
emoryhenry,Emory and Henry College,Emory,VA,USA
emoryga,Emory University,Atlanta,GA,USA
emporiast,Emporia State University,Emporia,KS,USA
alenter,Enterprise-Ozark Community College,Enterprise,AL,USA
nyeriec,Erie Community College,Buffalo,NY,USA
erskine,Erskine College,Due West,SC,USA
eurekail,Eureka College,Eureka,IL,USA
waevere,Everett Community College,Everett,WA,USA
fairfield,Fairfield University,Fairfield,CT,USA
fairldick,Fairleigh Dickinson University - Metropolitan Campus,Teaneck,NJ,USA
alfscco,Faulkner State College,Bay Minette,AL,USA
alfaulk,Faulkner University,Montgomery,AL,USA
fayetvilst,Fayetteville State University,Fayetteville,NC,USA
cafeath,Feather River College,Quincy,CA,USA
ferrisst,Ferris State University,Big Rapids,MI,USA
ferrumva,Ferrum College,Ferrum,VA,USA
flagler,Flagler College,St. Augustine,FL,USA
floridaam,Florida Agricultural and Mechanical University,Tallahassee,FL,USA
flatlantic,Florida Atlantic University,Boca Raton,FL,USA
flflajc,Florida College,Jacksonville,FL,USA
flgateway,Florida Gateway College,Lake City,FL,USA
flgulfc,Florida Gulf Coast University,Fort Myers,FL,USA
fltech,Florida Institute of Technology,Melbourne,FL,USA
flinternat,Florida International University,Miami,FL,USA
flsouthern,Florida Southern College,Lakeland,FL,USA
floridast,Florida State University,Tallahassee,FL,USA
cafooth,Foothill College,Los Altos Hills,CA,USA
fordham,Fordham University,New York,NY,USA
forthays,Fort Hays State University,Hays,KS,USA
coftlew,Fort Lewis College,Durango,CO,USA
ksftsco,Fort Scott Community College,Fort Scott,KS,USA
scfranc,Francis Marion University,Florence,SC,USA
txfrank,Frank Phillips College,Borger,TX,USA
frankmarsh,Franklin and Marshall College,Lancaster,PA,USA
franklinin,Franklin College,Franklin,IN,USA
freedhrdmn,Freed-Hardeman University,Henderson,TN,USA
cafrecc,Fresno City College,Fresno,CA,USA
cafrepa,Fresno Pacific University,Fresno,CA,USA
friendsks,Friends University,Wichita,KS,USA
mdfrost,Frostburg State University,Frostburg,MD,USA
cafulle,Fullerton College,Fullerton,CA,USA
furman,Furman University,Greenville,SC,USA
algadsd,Gadsden State Community College,Gadsden,AL,USA
gallaudet,Gallaudet University,Washington,DC,USA
txgalve,Galveston College,Galveston,TX,USA
gannon,Gannon University,Erie,PA,USA
ksgarde,Garden City Community College,Garden City,KS,USA
gardwebb,Gardner-Webb University,Boiling Springs,NC,USA
mdgarre,Garrett Community College,McHenry,MD,USA
cagavil,Gavilan College,Gilroy,CA,USA
genevapa,Geneva College,Beaver Falls,PA,USA
georgefox,George Fox University,Newberg,OR,USA
georgemas,George Mason University,Fairfax,VA,USA
georgewash,George Washington University,Washington,DC,USA
georgtwnky,Georgetown College,Georgetown,KY,USA
georgetown,Georgetown University,Washington,DC,USA
gacollege,Georgia College and State University,Milledgeville,GA,USA
gatech,Georgia Institute of Technology,Atlanta,GA,USA
gagpjco,Georgia Perimeter College,Covington,GA,USA
georgiasou,Georgia Southern University,Statesboro,GA,USA
gaswestern,Georgia Southwestern State University,Americus,GA,USA
georgiast,Georgia State University,Atlanta,GA,USA
gettysburg,Gettysburg College,Gettysburg,PA,USA
ohgiffi,Giffin Junior College,Van Wert,OH,USA
migocco,Glen Oaks Community College,Centreville,MI,USA
caglend,Glendale Community College,Glendale,CA,USA
glenvilst,Glenville State College,Glenville,WV,USA
njglouc,Gloucester County College,Sewell,NJ,USA
cagolde,Golden West College,Huntington Beach,CA,USA
gonzaga,Gonzaga University,Spokane,WA,USA
grambling,Grambling State University,Grambling,LA,USA
grcanyon,Grand Canyon University,Phoenix,AZ,USA
migrand,Grand Rapids Community College,Grand Rapids,MI,USA
grvalleyst,Grand Valley State University,Allendale,MI,USA
grandview,Grand View College,Des Moines,IA,USA
txgrays,Grayson County College,Denison,TX,USA
wagreen,Green River Community College,Auburn,WA,USA
grinnellia,Grinnell College,Grinnell,IA,USA
grossmont,Grossmont College,El Cajon,CA,USA
grovecity,Grove City College,Grove City,PA,USA
guilfordnc,Guilford College,Greensboro,NC,USA
flgccco,Gulf Coast Community College,Panama City,FL,USA
msgcmac,Gulf Coast Military Academy,Gulfport,MS,USA
mdhager,Hagerstown Community College,Hagerstown,MD,USA
pahahne,Hahnemann University,Philadelphia,PA,USA
hamlinemn,Hamline University,St. Paul,MN,USA
hampsydney,Hampden-Sydney College,Hampden-Sydney,VA,USA
inhanov,Hanover College,Hanover,IN,USA
harding,Harding University,Searcy,AR,USA
hardinsimm,Hardin-Simmons University,Abilene,TX,USA
moharri,Harris-Stowe State College,St. Louis,MO,USA
iltruma,Harry S Truman College,Chicago,IL,USA
cahartn,Hartnell College,Salinas,CA,USA
hartwickny,Hartwick College,Oneonta,NY,USA
harvard,Harvard University,Cambridge,MA,USA
haskellks,Haskell Indian Nations University,Lawrence,KS,USA
nehasti,Hastings College,Hastings,NE,USA
pahaver,Haverford College in Pennsylvania,Haverford,PA,USA
hawaiipac,Hawaii Pacific University,Honolulu,HI,USA
heidelberg,Heidelberg College,Tiffin,OH,USA
hendrsonst,Henderson State University,Arkadelphia,AR,USA
hendrixar,Hendrix College,Conway,AR,USA
mihenry,Henry Ford Community College,Dearborn,MI,USA
highpoint,High Point University,High Point,NC,USA
iahighl,Highland Park College,Des Moines,IA,USA
txhillj,Hill College,Hillsboro,TX,USA
flhills,Hillsborough Community College,Tampa,FL,USA
