yearID,lgID,total_ER,total_IPouts,league_ERA,DH_state
2009,AL,10006,60520,4.464011896893589,AL with DH
2023,NL,10476,64529,4.383331525360691,Universal DH
1950,NL,5066,33029,4.141269793212026,No DH (Both Leagues)
1958,NL,4841,33077,3.951597786981891,No DH (Both Leagues)
1964,AL,5887,43845,3.6252480328429697,No DH (Both Leagues)
1963,NL,5317,43661,3.2880373788964983,No DH (Both Leagues)
1987,AL,10035,60587,4.471998943667784,AL with DH
2012,AL,9212,60855,4.087157998521075,AL with DH
2004,AL,10432,60744,4.636902410114579,AL with DH
2007,NL,11460,69742,4.436637893951994,NL without DH
1947,NL,4956,32902,4.066986809312504,No DH (Both Leagues)
1960,NL,4649,33361,3.7625670693324547,No DH (Both Leagues)
1979,NL,7243,52280,3.7406465187452187,NL without DH
1962,NL,6345,43470,3.940993788819876,No DH (Both Leagues)
1985,AL,9305,60552,4.149078478002378,AL with DH
2015,NL,9436,65140,3.9111452256677928,NL without DH
1956,NL,4634,33190,3.7697499246761077,No DH (Both Leagues)
1971,AL,6662,51874,3.4675174461194436,No DH (Both Leagues)
1985,NL,6987,52424,3.5985235769876396,NL without DH
1971,NL,6738,52427,3.4700822095485155,No DH (Both Leagues)
1996,NL,9520,60867,4.222977968357238,NL without DH
1977,NL,7617,52545,3.913959463317157,NL without DH
2000,NL,11904,69310,4.6372529216563265,NL without DH
1998,NL,10941,69720,4.237048192771084,NL without DH
1966,AL,5532,43478,3.4353926123556744,No DH (Both Leagues)
1984,AL,9009,60840,3.998076923076923,AL with DH
1990,NL,7333,52144,3.797004449217552,NL without DH
1977,AL,9153,60672,4.073229825949367,AL with DH
1957,AL,4682,33380,3.7871180347513484,No DH (Both Leagues)
1972,AL,5682,49961,3.0706751265987475,No DH (Both Leagues)
2010,AL,9303,60651,4.141415640302715,AL with DH
2022,AL,9302,64676,3.883264271136125,Universal DH
1946,AL,4306,33186,3.503344783945037,No DH (Both Leagues)
1949,AL,5103,32823,4.197696737044146,No DH (Both Leagues)
2004,NL,11095,69438,4.314136351853452,NL without DH
2016,AL,10104,64833,4.207857109805192,AL with DH
1976,AL,6837,52405,3.522545558629902,AL with DH
1949,NL,4982,33293,4.040308773616076,No DH (Both Leagues)
1988,AL,8917,60561,3.97547926883638,AL with DH
1981,NL,4514,34906,3.491606027617029,NL without DH
2010,NL,10326,69265,4.025149787049736,NL without DH
2002,AL,10007,60492,4.46652449910732,AL with DH
1986,NL,7232,52413,3.7254879514624233,NL without DH
2018,AL,10277,64982,4.270090178818751,AL with DH
1952,AL,4564,33535,3.6746086178619355,No DH (Both Leagues)
2023,AL,10262,64733,4.280258909675127,Universal DH
1959,NL,4845,33142,3.947106390682518,No DH (Both Leagues)
1956,AL,5098,33095,4.159117691494184,No DH (Both Leagues)
1978,AL,8465,60490,3.77839312283022,AL with DH
1959,AL,4742,33159,3.861214150004524,No DH (Both Leagues)
2005,NL,10833,69157,4.229376635770783,NL without DH
1961,NL,4939,33080,4.031227327690448,No DH (Both Leagues)
1969,NL,6952,52162,3.5984816533108397,No DH (Both Leagues)
1952,NL,4572,33083,3.7313423812834388,No DH (Both Leagues)
2024,AL,9620,64617,4.01968522215516,Universal DH
1974,NL,7055,52481,3.6295992835502378,NL without DH
2020,NL,3829,23068,4.481662909658401,NL without DH
2000,AL,11014,60423,4.921602700958244,AL with DH
1973,AL,7389,52190,3.8226288561027024,AL with DH
1996,AL,11260,60815,4.999095617857437,AL with DH
1951,NL,4905,33462,3.9577729962345347,No DH (Both Leagues)
1953,NL,5219,32915,4.281118031292724,No DH (Both Leagues)
1964,NL,5705,43570,3.5353454211613498,No DH (Both Leagues)
2006,NL,11554,69411,4.4943596836236335,NL without DH
1948,AL,5223,32929,4.282577667101947,No DH (Both Leagues)
1946,NL,4202,33254,3.4117399410597224,No DH (Both Leagues)
1958,AL,4617,33072,3.769321480406386,No DH (Both Leagues)
1955,AL,4853,33080,3.961033857315599,No DH (Both Leagues)
1989,AL,8728,60543,3.892374015162777,AL with DH
2013,NL,9075,65542,3.738442525403558,NL without DH
1993,NL,9120,60854,4.046406152430408,NL without DH
1951,AL,5062,33163,4.121279739468686,No DH (Both Leagues)
1995,NL,8394,54168,4.1839831634913605,NL without DH
1994,NL,6730,43070,4.218945902019968,NL without DH
1973,NL,7129,52446,3.6701178354879302,NL without DH
1963,AL,5869,43655,3.629893482991639,No DH (Both Leagues)
1988,NL,6709,52442,3.4541588802867933,NL without DH
1995,AL,9428,53928,4.720293724966623,AL with DH
1970,NL,7843,52235,4.054005934718101,No DH (Both Leagues)
1991,AL,9290,61146,4.102148954960259,AL with DH
1955,NL,4928,32953,4.03775073589658,No DH (Both Leagues)
2008,NL,11042,69406,4.295507593003487,NL without DH
1976,NL,6800,52372,3.505690063392653,NL without DH
1953,AL,4910,33181,3.9953587896687868,No DH (Both Leagues)
1981,AL,5478,40379,3.662943609301865,AL with DH
2003,AL,10179,60675,4.529592088998764,AL with DH
2006,AL,10204,60363,4.564186670642612,AL with DH
1965,NL,5758,43929,3.5390288875230484,No DH (Both Leagues)
1989,NL,6823,52602,3.5021672179765027,NL without DH
1992,NL,6823,52502,3.508837758561579,NL without DH
2020,AL,3825,23338,4.42518639129317,AL with DH
2021,NL,9937,63797,4.205511230935625,NL without DH
1979,AL,9426,60155,4.230770509517082,AL with DH
2001,NL,11184,69223,4.362249541337417,NL without DH
1965,AL,5587,43618,3.458411664908983,No DH (Both Leagues)
1954,AL,4594,33315,3.723187753264295,No DH (Both Leagues)
1975,AL,7272,51821,3.7888886744755994,AL with DH
1987,NL,7890,52137,4.085965820818229,NL without DH
2013,AL,9675,65418,3.9931670182518575,AL with DH
1975,NL,7044,52351,3.6329391988691717,NL without DH
1968,NL,4870,44043,2.985491451535999,No DH (Both Leagues)
2008,AL,9788,60667,4.356173867176555,AL with DH
1967,AL,5241,43805,3.2303846592854697,No DH (Both Leagues)
1969,AL,7055,52510,3.627594743858313,No DH (Both Leagues)
1980,NL,7029,52589,3.6087965163817532,NL without DH
2003,NL,11006,69331,4.286134629530801,NL without DH
1982,NL,7034,52630,3.6085502565076957,NL without DH
2009,NL,10773,69296,4.197515008081275,NL without DH
2021,AL,10262,64048,4.326036722458157,AL with DH
1947,AL,4560,33228,3.705308775731311,No DH (Both Leagues)
2019,AL,11127,65072,4.616870543398083,AL with DH
1962,AL,6402,43545,3.969548742679986,No DH (Both Leagues)
1990,AL,8783,60547,3.9166432688655095,AL with DH
2016,NL,10056,65086,4.171588360015979,NL without DH
1983,NL,7056,52383,3.636905102800527,NL without DH
2002,NL,10563,69315,4.114563947197576,NL without DH
1961,AL,6451,43280,4.02442236598891,No DH (Both Leagues)
2024,NL,9921,64732,4.13809244268677,Universal DH
2022,NL,9691,64550,4.053555383423703,Universal DH
1991,NL,7124,52163,3.6874412898031177,NL without DH
1957,NL,4834,33653,3.8783466555730546,No DH (Both Leagues)
1948,NL,4814,32867,3.9546657741807896,No DH (Both Leagues)
2011,NL,9865,69732,3.819695405265875,NL without DH
1999,AL,10868,60230,4.871924290220821,AL with DH
1967,NL,5470,43748,3.3759257566060166,No DH (Both Leagues)
2019,NL,10611,65198,4.394260560139882,NL without DH
1983,AL,9185,60843,4.07598244662492,AL with DH
2014,NL,8878,65445,3.662709145083658,NL without DH
2014,AL,9251,65396,3.819453789222583,AL with DH
2005,AL,9779,60540,4.361298315163528,AL with DH
2017,AL,10517,64892,4.375870677433274,AL with DH
2011,AL,9202,60850,4.083056696795399,AL with DH
2007,AL,10123,60535,4.5150904435450565,AL with DH
1974,AL,7028,52346,3.62503343139877,AL with DH
1972,NL,6451,50390,3.456578686247272,No DH (Both Leagues)
1978,NL,6896,52000,3.5806153846153848,NL without DH
1950,AL,5575,32889,4.576758186627748,No DH (Both Leagues)
2012,NL,10128,69211,3.9510482437762784,NL without DH
1984,NL,6956,52274,3.5928377396028623,NL without DH
1997,AL,10261,60595,4.572109910058586,AL with DH
1994,AL,7600,42689,4.806858909789407,AL with DH
1998,AL,10446,60584,4.655387561072231,AL with DH
1966,NL,5830,43654,3.6058551335501905,No DH (Both Leagues)
1980,AL,9133,60995,4.042806787441594,AL with DH
1960,AL,4768,33249,3.871875845890102,No DH (Both Leagues)
1992,AL,8921,60987,3.949481036942299,AL with DH
1986,AL,9397,60610,4.186091404058736,AL with DH
1982,AL,9224,61005,4.082419473813622,AL with DH
1970,AL,7208,52341,3.718232360864332,No DH (Both Leagues)
1993,AL,9741,60667,4.3352563996901115,AL with DH
1954,NL,4987,33065,4.0722516255859675,No DH (Both Leagues)
1999,NL,11739,69404,4.566782894357674,NL without DH
1997,NL,9468,60767,4.206822782102129,NL without DH
2001,AL,10063,60639,4.480631276901004,AL with DH
2018,NL,9774,65485,4.029899977093991,NL without DH
2015,AL,9672,65083,4.012476376319469,AL with DH
1968,AL,4817,43660,2.9789051763628036,No DH (Both Leagues)
2017,NL,10430,64879,4.340541623637849,NL without DH
