playerID,awardID,yearID,lgID,tie,notes
mccarjo99,TSN Manager of the Year,1936,ML,,
mckecbi01,TSN Manager of the Year,1937,ML,,
mccarjo99,TSN Manager of the Year,1938,ML,,
durocle01,TSN Manager of the Year,1939,ML,,
mckecbi01,TSN Manager of the Year,1940,ML,,
southbi01,TSN Manager of the Year,1941,ML,,
southbi01,TSN Manager of the Year,1942,ML,,
mccarjo99,TSN Manager of the Year,1943,ML,,
sewellu01,TSN Manager of the Year,1944,ML,,
bluegos01,TSN Manager of the Year,1945,ML,,
dyered01,TSN Manager of the Year,1946,ML,,
harribu01,TSN Manager of the Year,1947,ML,,
meyerbi01,TSN Manager of the Year,1948,ML,,
stengca01,TSN Manager of the Year,1949,ML,,
rolfere01,TSN Manager of the Year,1950,ML,,
durocle01,TSN Manager of the Year,1951,ML,,
stanked01,TSN Manager of the Year,1952,ML,,
stengca01,TSN Manager of the Year,1953,ML,,
durocle01,TSN Manager of the Year,1954,ML,,
alstowa01,TSN Manager of the Year,1955,ML,,
tebbebi01,TSN Manager of the Year,1956,ML,,
hutchfr01,TSN Manager of the Year,1957,ML,,
stengca01,TSN Manager of the Year,1958,ML,,
alstowa01,TSN Manager of the Year,1959,ML,,
murtada01,TSN Manager of the Year,1960,ML,,
houkra01,TSN Manager of the Year,1961,ML,,
rignebi01,TSN Manager of the Year,1962,ML,,
alstowa01,TSN Manager of the Year,1963,ML,,
keanejo99,TSN Manager of the Year,1964,ML,,
melesa01,TSN Manager of the Year,1965,ML,,
bauerha01,TSN Manager of the Year,1966,ML,,
willidi02,TSN Manager of the Year,1967,ML,,
smithma01,TSN Manager of the Year,1968,ML,,
hodgegi01,TSN Manager of the Year,1969,ML,,
murtada01,TSN Manager of the Year,1970,ML,,
foxch01,TSN Manager of the Year,1971,ML,,
tannech01,TSN Manager of the Year,1972,ML,,
mauchge01,TSN Manager of the Year,1973,ML,,
virdobi01,TSN Manager of the Year,1974,ML,,
johnsda01,TSN Manager of the Year,1975,ML,,
ozarkda99,TSN Manager of the Year,1976,ML,,
weaveea99,TSN Manager of the Year,1977,ML,,
bambege01,TSN Manager of the Year,1978,ML,,
weaveea99,TSN Manager of the Year,1979,ML,,
virdobi01,TSN Manager of the Year,1980,ML,,
martibi02,TSN Manager of the Year,1981,ML,,
herzowh01,TSN Manager of the Year,1982,ML,,
larusto01,BBWAA Manager of the Year,1983,AL,,
larusto01,TSN Manager of the Year,1983,ML,,
lasorto01,BBWAA Manager of the Year,1983,NL,,
andersp01,BBWAA Manager of the Year,1984,AL,,
freyji99,BBWAA Manager of the Year,1984,NL,,
freyji99,TSN Manager of the Year,1984,ML,,
coxbo01,BBWAA Manager of the Year,1985,AL,,
coxbo01,TSN Manager of the Year,1985,ML,,
herzowh01,BBWAA Manager of the Year,1985,NL,,
lanieha01,BBWAA Manager of the Year,1986,NL,,
lanieha01,TSN Manager of the Year,1986,NL,,
mcnamjo99,BBWAA Manager of the Year,1986,AL,,
mcnamjo99,TSN Manager of the Year,1986,AL,,
andersp01,BBWAA Manager of the Year,1987,AL,,
andersp01,TSN Manager of the Year,1987,AL,,
rodgebu01,BBWAA Manager of the Year,1987,NL,,
rodgebu01,TSN Manager of the Year,1987,NL,,
larusto01,BBWAA Manager of the Year,1988,AL,,
larusto01,TSN Manager of the Year,1988,AL,,
lasorto01,BBWAA Manager of the Year,1988,NL,,
leylaji99,TSN Manager of the Year,1988,NL,,
robinfr02,BBWAA Manager of the Year,1989,AL,,
robinfr02,TSN Manager of the Year,1989,AL,,
zimmedo01,BBWAA Manager of the Year,1989,NL,,
zimmedo01,TSN Manager of the Year,1989,NL,,
leylaji99,BBWAA Manager of the Year,1990,NL,,
leylaji99,TSN Manager of the Year,1990,NL,,
torboje01,BBWAA Manager of the Year,1990,AL,,
torboje01,TSN Manager of the Year,1990,AL,,
coxbo01,BBWAA Manager of the Year,1991,NL,,
coxbo01,TSN Manager of the Year,1991,NL,,
kellyto01,BBWAA Manager of the Year,1991,AL,,
kellyto01,TSN Manager of the Year,1991,AL,,
larusto01,BBWAA Manager of the Year,1992,AL,,
larusto01,TSN Manager of the Year,1992,AL,,
leylaji99,BBWAA Manager of the Year,1992,NL,,
leylaji99,TSN Manager of the Year,1992,NL,,
bakerdu01,BBWAA Manager of the Year,1993,NL,,
coxbo01,TSN Manager of the Year,1993,NL,,
lamonge01,BBWAA Manager of the Year,1993,AL,,
oatesjo01,TSN Manager of the Year,1993,AL,,
aloufe01,BBWAA Manager of the Year,1994,NL,,
aloufe01,TSN Manager of the Year,1994,NL,,
showabu99,BBWAA Manager of the Year,1994,AL,,
showabu99,TSN Manager of the Year,1994,AL,,
baylodo01,BBWAA Manager of the Year,1995,NL,,
baylodo01,TSN Manager of the Year,1995,NL,,
hargrmi01,TSN Manager of the Year,1995,AL,,
pinielo01,BBWAA Manager of the Year,1995,AL,,
bochybr01,BBWAA Manager of the Year,1996,NL,,
bochybr01,TSN Manager of the Year,1996,NL,,
oatesjo01,BBWAA Manager of the Year,1996,AL,Y,
oatesjo01,TSN Manager of the Year,1996,AL,,
torrejo01,BBWAA Manager of the Year,1996,AL,Y,
bakerdu01,BBWAA Manager of the Year,1997,NL,,
bakerdu01,TSN Manager of the Year,1997,NL,,
johnsda02,BBWAA Manager of the Year,1997,AL,,
johnsda02,TSN Manager of the Year,1997,AL,,
bochybr01,TSN Manager of the Year,1998,NL,,
dierkla01,BBWAA Manager of the Year,1998,NL,,
torrejo01,BBWAA Manager of the Year,1998,AL,,
torrejo01,TSN Manager of the Year,1998,AL,,
coxbo01,TSN Manager of the Year,1999,NL,,
mckeoja99,BBWAA Manager of the Year,1999,NL,,
williji03,BBWAA Manager of the Year,1999,AL,,
williji03,TSN Manager of the Year,1999,AL,,
bakerdu01,BBWAA Manager of the Year,2000,NL,,
bakerdu01,TSN Manager of the Year,2000,NL,,
manueje01,BBWAA Manager of the Year,2000,AL,,
manueje01,TSN Manager of the Year,2000,AL,,
bowala01,BBWAA Manager of the Year,2001,NL,,
bowala01,TSN Manager of the Year,2001,NL,,
pinielo01,BBWAA Manager of the Year,2001,AL,,
pinielo01,TSN Manager of the Year,2001,AL,,
coxbo01,TSN Manager of the Year,2002,NL,,
larusto01,BBWAA Manager of the Year,2002,NL,,
sciosmi01,BBWAA Manager of the Year,2002,AL,,
sciosmi01,TSN Manager of the Year,2002,AL,,
bakerdu01,This Year in Baseball Manager of the Year,2003,ML,,MLB.com GIBBY
coxbo01,TSN Manager of the Year,2003,NL,,
mckeoja99,BBWAA Manager of the Year,2003,NL,,
penato01,BBWAA Manager of the Year,2003,AL,,
penato01,TSN Manager of the Year,2003,AL,,
coxbo01,BBWAA Manager of the Year,2004,NL,,
coxbo01,TSN Manager of the Year,2004,NL,,
francte01,This Year in Baseball Manager of the Year,2004,ML,,MLB.com GIBBY
gardero01,TSN Manager of the Year,2004,AL,Y,
showabu99,BBWAA Manager of the Year,2004,AL,,
showabu99,TSN Manager of the Year,2004,AL,Y,
coxbo01,BBWAA Manager of the Year,2005,NL,,
coxbo01,TSN Manager of the Year,2005,NL,,
guilloz01,BBWAA Manager of the Year,2005,AL,,
guilloz01,This Year in Baseball Manager of the Year,2005,ML,,MLB.com GIBBY
guilloz01,TSN Manager of the Year,2005,AL,,
girarjo01,BBWAA Manager of the Year,2006,NL,,
girarjo01,TSN Manager of the Year,2006,NL,,
leylaji99,BBWAA Manager of the Year,2006,AL,,
leylaji99,This Year in Baseball Manager of the Year,2006,ML,,MLB.com GIBBY
leylaji99,TSN Manager of the Year,2006,AL,,
melvibo01,BBWAA Manager of the Year,2007,NL,,
melvibo01,TSN Manager of the Year,2007,NL,,
torrejo01,This Year in Baseball Manager of the Year,2007,ML,,MLB.com GIBBY
wedgeer01,BBWAA Manager of the Year,2007,AL,,
wedgeer01,TSN Manager of the Year,2007,AL,,
gonzafr99,TSN Manager of the Year,2008,NL,,
maddojo99,BBWAA Manager of the Year,2008,AL,,
maddojo99,TSN Manager of the Year,2008,AL,,
manuech01,This Year in Baseball Manager of the Year,2008,ML,,MLB.com GIBBY
pinielo01,BBWAA Manager of the Year,2008,NL,,
sciosmi01,BBWAA Manager of the Year,2009,AL,,
sciosmi01,TSN Manager of the Year,2009,AL,,
tracyji01,BBWAA Manager of the Year,2009,NL,,
tracyji01,This Year in Baseball Manager of the Year,2009,ML,,MLB.com GIBBY
tracyji01,TSN Manager of the Year,2009,NL,,
blackbu01,TSN Manager of the Year,2010,NL,,
blackbu02,BBWAA Manager of the Year,2010,NL,,
bochybr01,This Year in Baseball Manager of the Year,2010,ML,,MLB.com GIBBY
gardero01,BBWAA Manager of the Year,2010,AL,,
gardero01,TSN Manager of the Year,2010,AL,,
gibsoki01,BBWAA Manager of the Year,2011,NL,,
gibsoki01,This Year in Baseball Manager of the Year,2011,ML,,MLB.com GIBBY
gibsoki01,TSN Manager of the Year,2011,NL,,
maddojo99,BBWAA Manager of the Year,2011,AL,,
maddojo99,TSN Manager of the Year,2011,AL,,
johnsda02,BBWAA Manager of the Year,2012,NL,,
johnsda02,TSN Manager of the Year,2012,NL,,
melvibo01,BBWAA Manager of the Year,2012,AL,,
showabu99,This Year in Baseball Manager of the Year,2012,ML,,MLB.com GIBBY
showabu99,TSN Manager of the Year,2012,AL,,
farrejo03,This Year in Baseball Manager of the Year,2013,ML,,MLB.com GIBBY
farrejo03,TSN Manager of the Year,2013,AL,,
francte01,BBWAA Manager of the Year,2013,AL,,
hurdlcl01,BBWAA Manager of the Year,2013,NL,,
hurdlcl01,TSN Manager of the Year,2013,NL,,
bochybr01,This Year in Baseball Manager of the Year,2014,ML,,MLB.com GIBBY
sciosmi01,TSN Manager of the Year,2014,AL,,
showabu99,BBWAA Manager of the Year,2014,AL,,
willima04,BBWAA Manager of the Year,2014,NL,,
willima04,TSN Manager of the Year,2014,NL,,
banisje01,BBWAA Manager of the Year,2015,AL,,
collite99,TSN Manager of the Year,2015,NL,,
maddojo99,BBWAA Manager of the Year,2015,NL,,
molitpa01,TSN Manager of the Year,2015,AL,,
francte01,BBWAA Manager of the Year,2016,AL,,
francte01,TSN Manager of the Year,2016,AL,,
roberda07,BBWAA Manager of the Year,2016,NL,,
roberda07,TSN Manager of the Year,2016,NL,,
counscr01,TSN Manager of the Year,2017,NL,,
francte01,TSN Manager of the Year,2017,AL,,
lovulto01,BBWAA Manager of the Year,2017,NL,,
molitpa01,BBWAA Manager of the Year,2017,AL,,
counscr01,TSN Manager of the Year,2018,NL,Y,
melvibo01,BBWAA Manager of the Year,2018,AL,,
melvibo01,TSN Manager of the Year,2018,AL,,
snitkbr99,BBWAA Manager of the Year,2018,NL,,
snitkbr99,TSN Manager of the Year,2018,NL,Y,
baldero01,BBWAA Manager of the Year,2019,AL,,
cashke01,TSN Manager of the Year,2019,AL,,
shildmi99,BBWAA Manager of the Year,2019,NL,,
snitkbr99,TSN Manager of the Year,2019,NL,,
cashke01,BBWAA Manager of the Year,2020,AL,,
cashke01,TSN Manager of the Year,2020,AL,,
mattido01,BBWAA Manager of the Year,2020,NL,,
mattido01,TSN Manager of the Year,2020,NL,,
cashke01,BBWAA Manager of the Year,2021,AL,,
cashke01,TSN Manager of the Year,2021,AL,,
kaplega01,BBWAA Manager of the Year,2021,NL,,
kaplega01,TSN Manager of the Year,2021,NL,,
francte01,BBWAA Manager of the Year,2022,AL,,
hydebr99,TSN Manager of the Year,2022,AL,,
showabu99,BBWAA Manager of the Year,2022,NL,,
showabu99,TSN Manager of the Year,2022,NL,,
counscr01,TSN Manager of the Year,2023,NL,Y,
hydebr99,BBWAA Manager of the Year,2023,AL,,
hydebr99,TSN Manager of the Year,2023,AL,,
schumsk01,BBWAA Manager of the Year,2023,NL,,
snitkbr99,TSN Manager of the Year,2023,NL,Y,
murphpa99,BBWAA Manager of the Year,2024,NL,,
murphpa99,TSN Manager of the Year,2024,NL,,
vogtst01,BBWAA Manager of the Year,2024,AL,,
vogtst01,TSN Manager of the Year,2024,AL,,
